31984 174656 17 31 Randomised
31984 174768 18 31 Randomised
31968 174800 18 31 Randomised
31984 185744 19 31 Randomised
32000 185792 19 31 Randomised
31968 185824 20 31 Randomised
31984 185824 20 31 Randomised
31968 196112 21 31 Randomised
31984 196016 21 31 Randomised
32000 196320 22 31 Randomised
31984 196336 22 31 Randomised
31968 205376 23 31 Randomised
31984 205344 23 31 Randomised
31968 205472 24 31 Randomised
31984 205552 24 31 Randomised
31968 215008 25 31 Randomised
31984 214960 25 31 Randomised
31968 215168 26 31 Randomised
31984 215200 26 31 Randomised
31968 215392 27 31 Randomised
31984 215424 27 31 Randomised
31984 215552 28 31 Randomised
31984 215536 28 31 Randomised
0 0 1 31 SingleCore
0 0 1 31 SingleCore
0 0 2 31 SingleCore
0 0 2 31 SingleCore
0 0 3 31 SingleCore
0 0 3 31 SingleCore
0 0 4 31 SingleCore
0 0 4 31 SingleCore
0 0 5 31 SingleCore
0 0 5 31 SingleCore
0 0 6 31 SingleCore
0 0 6 31 SingleCore
0 0 7 31 SingleCore
0 0 7 31 SingleCore
0 0 8 31 SingleCore
0 0 8 31 SingleCore
0 0 9 31 SingleCore
0 0 9 31 SingleCore
0 0 10 31 SingleCore
0 0 10 31 SingleCore
0 0 11 31 SingleCore
0 0 11 31 SingleCore
0 0 12 31 SingleCore
0 0 12 31 SingleCore
0 0 13 31 SingleCore
0 0 13 31 SingleCore
0 0 14 31 SingleCore
0 0 14 31 SingleCore
0 0 15 31 SingleCore
0 0 15 31 SingleCore
0 0 16 31 SingleCore
0 0 16 31 SingleCore
0 0 17 31 SingleCore
0 0 17 31 SingleCore
0 0 18 31 SingleCore
0 0 18 31 SingleCore
0 0 19 31 SingleCore
0 0 19 31 SingleCore
0 0 20 31 SingleCore
0 0 20 31 SingleCore
0 0 21 31 SingleCore
0 0 21 31 SingleCore
0 0 22 31 SingleCore
0 0 22 31 SingleCore
0 0 23 31 SingleCore
0 0 23 31 SingleCore
0 0 24 31 SingleCore
0 0 24 31 SingleCore
0 0 25 31 SingleCore
0 0 25 31 SingleCore
0 0 26 31 SingleCore
0 0 26 31 SingleCore
0 0 27 31 SingleCore
0 0 27 31 SingleCore
0 0 28 31 SingleCore
0 0 28 31 SingleCore
32496 64704 1 31 Balanced
32496 64720 1 31 Balanced
32496 89728 2 31 Balanced
32480 89744 2 31 Balanced
32480 115536 3 31 Balanced
32480 115600 3 31 Balanced
32480 142304 4 31 Balanced
32496 142336 4 31 Balanced
32480 170064 5 31 Balanced
32496 170032 5 31 Balanced
32512 197168 6 31 Balanced
32496 197184 6 31 Balanced
32480 225632 7 31 Balanced
32480 225552 7 31 Balanced
32496 254208 8 31 Balanced
32480 254400 8 31 Balanced
32496 281952 9 31 Balanced
